factor,frequency,weighting,portfolio_type,return_gross,sharpe_gross,sortino_gross,max_dd,calmar,hit_rate,return_net,sharpe_net,avg_turnover,mean_ic,ic_ir,alpha,beta,r_squared
size,quarterly,cap_weight,long_only,0.10506643389460835,0.6363178270839982,0.5911834475688779,-0.23982387282803594,0.4380983121306923,0.425,0.1049334817306189,0.6356573351547967,0.0310764130412531,-0.07148372804340217,-0.8609723912251325,-0.00982441043771411,1.0769466430734136,0.839192510084851
size,quarterly,cap_weight,long_short,-0.08410742609211674,-1.3482529226106765,-1.001554721912364,-0.5846201955287231,-0.14386678177624543,0.225,-0.08421373032237556,-1.3507240925474426,0.028856123733998068,-0.07148372804340217,-0.8609723912251325,-0.0192242999898696,-0.054741351159983506,0.018835822204341324
size,annual,equal,long_only,0.10491860932029828,0.6898980538440153,1.2345091914638806,-0.15095653879622625,0.6950252712267482,0.5555555555555556,0.10480642630376846,0.6895614952400086,0.12476665871648171,-0.13699862387522654,-1.1897143758871735,-0.015757639610559832,0.8165704748729272,0.6427619939364295
size,annual,equal,long_short,-0.06681952210251096,-0.996534774077943,-0.7264170993045899,-0.4633504084820892,-0.14420948137589454,0.2222222222222222,-0.06694163001991926,-0.9993703909238819,0.12581975605079676,-0.13699862387522654,-1.1897143758871735,-0.04717593584904706,-0.10822257019001665,0.07659751055600172
size,annual,cap_weight,long_only,0.10813631553527348,0.7250012465806118,1.3375322296966663,-0.1438716770246789,0.7516164249390407,0.5555555555555556,0.10802009176443006,0.7246725745106306,0.1289015484206265,-0.13699862387522654,-1.1897143758871735,-0.01015864245527115,0.797981193372514,0.6488535883525266
size,annual,cap_weight,long_short,-0.1213362280753536,-1.1102408169552647,-0.7216266817002646,-0.687820425840806,-0.17640684038574408,0.2222222222222222,-0.12145326014472624,-1.1119742189788309,0.12284136655823102,-0.13699862387522654,-1.1897143758871735,-0.051942815722576204,-0.39405145155452936,0.3933789565427742
low_volatility,monthly,equal,long_only,0.14465441716585192,1.09085783908581,1.0725101756188677,-0.18874345394241446,0.766407597955614,0.4830508474576271,0.13523699794467148,1.0288547928812468,0.6970054793168361,-0.026941720154881138,-0.12304447456451761,0.002758264944995603,0.7200106638919871,0.6707427186038704
low_volatility,monthly,equal,long_short,-0.0721012771559647,-0.7698818635285815,-0.7031467965291974,-0.5231844056137794,-0.13781235905030143,0.3389830508474576,-0.07913321575673982,-0.8512499170388029,0.6286488615180273,-0.026941720154881138,-0.12304447456451761,-0.001114938758714974,-0.3684246130440234,0.36870999722302256
low_volatility,monthly,cap_weight,long_only,0.1780312722155888,1.3242530320361932,1.5228522705415748,-0.1373974755353886,1.2957390339368673,0.4830508474576271,0.1675022384062046,1.255199625855006,0.7580459735736733,-0.026941720154881138,-0.12304447456451761,0.005538588425625803,0.6904515673570663,0.6320913485312846
low_volatility,monthly,cap_weight,long_short,-0.11804167354678119,-0.9207133339036685,-0.8550948734023159,-0.7179952131037556,-0.16440454113406924,0.2966101694915254,-0.12514764939862089,-0.9837008700165439,0.6665920287564052,-0.026941720154881138,-0.12304447456451761,-0.004467010897710536,-0.4086600620722074,0.2354985134633678
low_volatility,quarterly,equal,long_only,0.12246447712375796,0.8716478858326371,1.0001735907635294,-0.18471320481934425,0.6629979553629225,0.42105263157894735,0.11807333771919581,0.8449511933539796,1.0111141960297982,-0.052631445740781845,-0.23852047478725638,0.0069273645000284085,0.7307655883549717,0.636182693382963
low_volatility,quarterly,equal,long_short,-0.07123223359281472,-0.7390836863384266,-0.6581571353737499,-0.511424530623954,-0.13928200414225175,0.23684210526315788,-0.07465090263355645,-0.7774479364267206,0.9027474003986742,-0.052631445740781845,-0.23852047478725638,-0.00580582671875303,-0.33478274795294544,0.32830196751273344
low_volatility,quarterly,cap_weight,long_only,0.15221838440727886,1.1149976816024507,1.3816833969156272,-0.13725697825245461,1.109002881640786,0.5,0.14740635627563403,1.0836415505014314,1.0819930561862496,-0.052631445740781845,-0.23852047478725638,0.015509927618915152,0.6673551642801074,0.6014157054297691
low_volatility,quarterly,cap_weight,long_short,-0.14490145187931358,-0.888780584298046,-0.7616635332147998,-0.778998293267775,-0.1860099734897683,0.2631578947368421,-0.14822259122991632,-0.9122173258947953,0.9317371451834204,-0.052631445740781845,-0.23852047478725638,-0.018970532682906768,-0.4735074546067098,0.22846757724548894
low_volatility,annual,equal,long_only,0.11303416144644429,0.9294464530768887,3.799129948813039,-0.03766801982289334,3.000799138842599,0.3333333333333333,0.11181413703817333,0.9202969249955927,1.217714817831088,-0.08607188847084722,-0.5036161323318745,0.02270441428755517,0.5966218083565659,0.5942008565854731
low_volatility,annual,equal,long_short,-0.09961392133082803,-0.9027488754042527,-0.6597177912916884,-0.61108119399979,-0.16301257886666737,0.2222222222222222,-0.10072006750415285,-0.9135212471783908,1.101882983014904,-0.08607188847084722,-0.5036161323318745,-0.04034971615623956,-0.3313767733105416,0.27882068558037154
low_volatility,annual,cap_weight,long_only,0.17476786415629264,1.4941271685280746,,0.0,,0.5555555555555556,0.17355362399237673,1.4843014152269545,1.210039325557965,-0.08607188847084722,-0.5036161323318745,0.07972539637341382,0.6203302292093213,0.7286912286948142
low_volatility,annual,cap_weight,long_short,-0.27719887288142375,-0.7294496137320774,-0.5488990173593917,-0.9461520232467057,-0.2929749829527608,0.2222222222222222,-0.27845448753404567,-0.733229197192671,1.1194776948538083,-0.08607188847084722,-0.5036161323318745,-0.058878835764741046,-0.9712047265254153,0.29562310051808005
